,amazon_tweets
1525,My favourite features in #SamsungM42  Knox security. I love it. #FastestMonster 💪👍👊 @SamsungIndia @amazonIN https://t.co/DvIGgD5wQN
1526,"Monster - Fast Performance
❤️❤️❤️❤️❤️❤️❤️   
#SamsungM42
#FastestMonster
 @amazonIN
 @SamsungIndia https://t.co/7TbamwXPsI"
1527,"Daily QuizTime

Well done!

I am eligible for a lucky draw in this contest!

OnePlus 9 5G (Astral Black, 8GB RAM, 1… https://t.co/CXCF9QwvnN"
1528,"I Love Samsung From My Childhood❤️❤️❤️❤️❤️❤️❤️❤️   
#SamsungM42
#FastestMonster
 @amazonIN
 @SamsungIndia https://t.co/CRymygQxn6"
1529,"#AmazonSpinandWin 
#QuizTimeWithAmazon
Amazing quiz brings amazing gifts 😍
@amazon @amazonIN 
@lakshaysaini50… https://t.co/vfJabITsum"
1530,"My favorite iQOO 7 Series feature is ""DUAL CHIP MONSTER"" @IqooInd, @amazonIN #iQOO7Series. https://t.co/GWVBwGH8Fm"
1531,It is a difficult task to select any one favourite feature of this Phone. Samsung M 42 is a fantastic feature packe… https://t.co/wT2wmB8vCX
1532,#IQOO7SERIES Best Feature comes with Dual Chip which help and accelerate in increasing Frame rate and gaming experi… https://t.co/KQ4ieTR28m
1533,"Favourite features of IQOO 7 Series for me are:
Super High Performance, Ultra Fast Charging, Beautiful Design and a… https://t.co/6Ds9fFD4Z8"
1534,"Love the ease of @getsimpl. pls integrate with @amazonIN, @myntra, @dominos_india, @hotstartweets, @oyorooms and @MyNykaa  #KeepItSimpl"
1535,"Will watch the launch on 26th..

#iQOO7Legend 
@IqooInd @amazonIN @gagan_arora1. 

Afsos Amazon would not deliver,… https://t.co/6G1pXowV0G"
1536,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Best Feature is performance SD 750 5g, safety and awesome disp… https://t.co/y0apPxI3Zz"
1537,"QUALCOMM SNAPDRAGON 870 5G PROCESSOR &amp; DISPLAY ARE MY TWO FAVORITES IN UPCOMING IQOO 7 5G
Waiting for it 😍😍😍… https://t.co/yerCopAYAv"
1538,.@amazonIN please do take care of sellers like these who are price gouging like 100% during these tough times. This… https://t.co/YVvpiBPlnw
1539,Just get chance to win the #iphone12pro @amazonIN @amazon #AmazonSpinandWin 👍 https://t.co/aqb354B8V6
1540,.@amazonIN @SamsungIndia #FastestMonster #SamsungM42 .. contest to win M42 https://t.co/W9S0Ii2DoK
1541,"IQOO 7 Legend 5G 
Really moster powered
Is became my favourite smartphone i have seen ever
@IqooInd 
@amazonIN… https://t.co/KLqwulkPoa"
1542,My favourite brand Samsung is back with another bomb . The all new #SamsungM42 #FastestMonster @SamsungIndia… https://t.co/EEBy7KjBKI
1543,"#iQOO7Series  ✅66w+ALT ✅120Hz Amoled Display of iQOO7Series✔🤠👌
@IqooInd @amazonIN 
#AmazonQuiz #DailyQuiz https://t.co/BtIMzNYKdc"
1544,"This device is lit. One of my favourite and  feature is the ""300 Hertz Touch Sampling Rate"". This device gon be smo… https://t.co/OGsBWNkPcZ"
1545,This device is lit. One of my favourite and cool feature is the Vapor Chamber. It's the largest one. So no overheat… https://t.co/iNJ7QZFgJY
1546,dirty heaven's  angels: A Novel (No More International Beauty Queen) : Hind... https://t.co/A4fCtvRlm1 via… https://t.co/L7FRYZOikt
1547,Great initiative…plz do think on delivery charges…! https://t.co/R5okXkzydi
1548,"Looking forward to the 120Hz Amoled screen.
@IqooInd @amazonIN 
#iQOO7Series https://t.co/QhGGcMiYpu"
1549,Resently i ordered 10 watchs from Amazon and i received 8 watchs in box so complaint about this to Amazon . Accordi… https://t.co/RglDzZvNhK
1550,"#AmazonQuiz
Daily QuizTime
I played this interesting quiz on Amazon app at Amazon FunZone
I am eligible for win pri… https://t.co/ManjgMbnd1"
1551,"🏆 #AmazonSpinandWin - Win HP Laptop, Samsung Buds, Smartphone and more 
✨ Sunday Wheel Of Fortune Quiz 
⏳  25 April… https://t.co/ll88IMqYdQ"
1552,Sittin here waiting for @amazonIN to send my new laptop ⏳🥱
1553,Fully dominating @IqooInd @amazonIN https://t.co/x7eUDCE6II
1554,"🏆 #AmazonQuiz - Win OnePlus 9 5G
⏳ 25 Apr 21 (24 hours) 
✨ Daily Quiz Answers  

1. Autism (4) 
2. All of these (4)… https://t.co/4xSXFqTBqX"
1555,I like the feature of full charge in 30 mins and liquid cooling system- graphite layer coverage to keep the phone c… https://t.co/byntw6znMa
1556,Samsung's greatest mid-range Monster M42 5G is coming on 28th April 2021 12PM exclusively on… https://t.co/BN4zUxrPON
1557,Fully fantastic @IqooInd @amazonIN https://t.co/wGhsTNYKLu
1558,Hey @BharatBiotech @SerumInstIndia. I think you should talk to @RedmiIndia about the flash sale of vaccines. It can… https://t.co/ErrO5tZWrg
1559,Best thing That i loved In This Phone  a Ultimate Monster @IqooInd @amazonIN #IQOO7series https://t.co/iP804KFCzn
1560,"Intelligent display chip, Full charge in 30 min♥️ i.e 66W fast charge..

#iQOO7Series @IqooInd @amazonIN https://t.co/4IdUXZ7vBS"
1561,Finally the monster is releasing on 26/04/2021. Super Excited 😁😁🔥🔥My favourite feature is definitely going to be th… https://t.co/Pn0WGN07cS
1562,"The best feature about this iqoo7 series is its dual chip feature &amp; its vapour chamber.
@IqooInd @amazonIN… https://t.co/z5cOl9uzjK"
1563,Unable to log into my amazon account. Please help @amazonIN
1564,"#amazon daily quiz
@amazonIN https://t.co/ueu5Fl8sDk"
1565,"#amazon spin and win 
@amazonIN https://t.co/xUEmaLOkyG"
1566,#iQOO7Series @IqooInd @amazonIN  tweeted from #iQOO3 https://t.co/POpf1enpVm
1567,just impresed and love the iqoo7 specification @IqooInd @amazonIN #iQOO7Series ..What a premium phone by iQOO. https://t.co/Nll74U3L3X
1568,"Hi sir @CPMumbaiPolice @MumbaiPolice @mybmc , is that allowed to snapdeal, get order of non essential product for p… https://t.co/qB4eXKESmK"
1569,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Favourite Feature is performance and safety https://t.co/Nls5YqcR8S"
1570,"The Hidden Mystery Behind REALME Q3 Upcoming Mobile.
#realme #Realmeq3 #RealmeQ3Pro #RealmeQ3i #RealmeQ3… https://t.co/j7c8aFLXj4"
1571,Why @RedmiIndia @RedmiSupportIN mi 10i and many redmi 10 series phones are not getting sold with GST invoice on… https://t.co/kf5AmBjvRI
1572,Love the legendary track design. @IqooInd @amazonIN #IQOO7series https://t.co/tDcnlG3Tvv
1573,"Qualcomm Snapdragon processor 870 5G🔥 Awesome✨🎁  @IqooInd @amazonIN
#iQOO7Series https://t.co/BJ0lw28eKi"
1574,After all effort Amazon did not allow our product to make live as they recognized our hygine products as pesticide… https://t.co/TzLOHp6uct
1575,"Meanwhile we are jailed in our houses, Amazon makes money. 
The corner is closed most of the time, Amazon makes mon… https://t.co/cXvZOv3Tx0"
1576,"My favourite feature of #SamsungM42 is its MONSTER FAST PERFORMANCE and also the MONSTER FAST SAFETY..
Excited for… https://t.co/nK46iU5d3j"
1577,"There is a new update
now the #iFFALCON
products are launching
on 1st May 2021 on
@amazonIN

#iFFALCONOnAmazon… https://t.co/m1Frn9qqGy"
1578,awesome #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/Aqmy0ROfca
1579,Hey @amazonIN @AmitAgarwal ask your bosses in your HQ to ask their prez to be rational and ensure free passage of r… https://t.co/yce9PMOZhP
1580,I’m sorry to say that such a big brand like @amazonIN services is very pathetic. I’ve booked shoes which I want to… https://t.co/C1whtsLrvF
1581,"#DailyQuizTime
@amazon 
@amazonIN 
IFB Neptune vx fully electronic dish washer https://t.co/aR5NGXNC2E"
1582,"My favorite full charge in 30 mints 
@IqooInd @amazonIN #iQOO7Series https://t.co/REeCwDTfuZ"
1583,".@amazonIN hi Amazon. I ve ordered a gift card and I try to claim it, it says its already claimed by someone. How c… https://t.co/e1W8DomOnZ"
1584,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/P5vYL0Gqbd
You guys can also jo… https://t.co/kg6WwpheSn"
1585,"My favorite feature in IQOO7 series @IqooInd ,@amazonIN  &amp; #iQOO7Series https://t.co/aypEpcROxr"
1586,"Every company wants data, Financial services app has permission to our messages, email etc. I believe that every co… https://t.co/U1wcbdLdII"
1587,#OnePlus9seriesAmazonQuiz @amazon @amazonIN I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/AsTkEWNL8A
1588,My favorite in iQOO7series @IqooInd @amazonIN #iQOO7Series https://t.co/AfXTW2vELU
1589,#AmazonTecnoSpark7Quiz @amazonIN @amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/iFWk9CtykC
1590,#iQOO7Legend5GAmazonQuiz @amazonIN @amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/9REb3vQf4o
1591,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/Totm4gb7Yr
@IqooInd ,@amazonIN… https://t.co/yMZMzXPghO"
1592,"#Fraud by @amazonIN. 
My parents are being harassed by Amazon. Their order for a washing machine (Order No:-  408-5… https://t.co/L0wgG2BmfK"
1593,#iQOO75GAmazonQuiz @amazonIN @amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/4997bq9wP6
1594,#OPPOA745GQuiz @amazonIN @amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/XdqJcoUV0O
1595,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/4ytYidd2WE @amazonIN @IqooInd
1596,#GalaxyM42Quiz @amazonIN @amazon #AmazonQuiz I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/zf0oNkmmCV
1597,"Legends can't be defeted. @iqooind, @amazonIN, #iQOO7Series https://t.co/13MmTrHjf4"
1598,#Mi11SeriesQuiz @amazon @amazonIN I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/UPP9HS902X
1599,"#FastestMonster @SamsungIndia @amazonIN #SamsungM42 As a #Samsung lover, Everything that I need in a phone is perfo… https://t.co/m2z8nRpvHX"
1600,"#AmazonQuiz @amazonIN @amazon World Book Day Quiz.
I played this interesting Quiz on Amazon-Play games at Amazon Fu… https://t.co/tX8Jd5OWHf"
1601,Please accept dogecoin @amazonIN @amaz #Doge4Amazon
1602,I like in iqoo7 legend 5G feature is the design of BMW costume back is best #iQOO7 #iQOO7Series  #amazonIN https://t.co/AhfrwTmn2q
1603,"#iQOO7Series #iQOO7Legend5GAmazonQuiz 
@IqooInd @amazonIN 
Vapour Chamber for Liquid Cooling Is Love❤️

&amp; I Want To… https://t.co/qRMjpkxuPu"
1604,#AmazonQuiz @amazonIN @amazon Daily Quiz:24-04-2021 https://t.co/0vxj36SNLq
1605,This is really frustrating as in this COVID we purchased this machine to disinfect house along with sodium hypochlo… https://t.co/wq3scxTS2S
1606,#AmazonQuiz @amazonIN @amazon T20 Cricket Fever Guess Who ...? Quiz. I played this interesting Quiz on Amazon-Play… https://t.co/q6RmsNaDVW
1607,"Dual Chip is the best
@IqooInd @amazonIN 
#iQOO7Series https://t.co/ymo9L72b4C"
1608,"#AmazonFunzoneSlots @amazon 
@amazonIN T20 Cricket Fever Quiz. https://t.co/Hk6bINYbsW"
1609,"Best phone ever to exist on the M series. Snapdragon 750G will be an overkill on an smartphone.
Samsung Pay? Life j… https://t.co/6jIzSsOQlx"
1610,"#AmazonSpinandWin @amazonIN 
@amazon  T20 Cricket Fever Quiz. https://t.co/AwpUEcXC8e"
1611,"300 hz touch sampling rate. Smoooooth.....
I love that 
@IqooInd  @amazonIN 
#iQOO7Series https://t.co/8KX22G5aCf"
1612,"#AmazonSpinandWin @amazon 
@amazonIN Funzone carnival Quiz. https://t.co/pa8MzmRVTU"
1613,My new book titled 'Joint Replacements'- A patient's hand book is released. This 250 page-illustrated book is a roa… https://t.co/rRELuBViQq
1614,.@amazonIN @amazon @AmazonHelp @JeffBezos  this product purchased to disinfect hius in this covid along with sodium… https://t.co/ulFqwOMGPR
1615,"#AmazonSpinandWin @amazonIN 
@amazon Funzone Carnival Spin and Win Quiz. https://t.co/QdboU4DxYa"
1616,Good to see you 2 in the @amazonIN Fashion AD. @Officialneha @aishasharma25 🤗 🌹
1617,I played this interesting Spin And Win on Amazon-Play games at Amazon FunZone https://t.co/1PrASs47qT @amazonIN… https://t.co/NTjgai3Exf
1618,"All features are best but I like dual chip feature #iQOO7Series 
@IqooInd @amazonIN https://t.co/2IkerNjZvn"
1619,Amazon please help as we didn't get the proper response from your internal team.@AmitAgarwal @AmazonHelp @amazonIN… https://t.co/Qk1sUEfbgK
1620,"Hi @amazonIN - I am not able to into any of my Amazon services-shopping app,music and Video. Also not getting any O… https://t.co/Tn2wIVTwD2"
1621,"Thanks KCR Garu🙏. 
Sir, @amazonIN , Hyd seeking covid report, to restart Work-from-Offic in disastr. 
Earlier,one e… https://t.co/3YcbcUD7DB"
1622,What a loot by @amazon @amazonIN . MRP on box is 439. @amazonIN quotes 1199 and gives 63% off and sells at 439. Thi… https://t.co/oNSGwQEoQB
1623,Amazon team told me they investigate and they not provide refund or replacement on my complaint what should I do he… https://t.co/3nSZIsCIOw
1624,What a loot by @amazon @amazonIN . MRP on box is 439. @amazonIN quotes 1199 and gives 63% off and sells at 439. Thi… https://t.co/gtTXmGVfV7
1625,Rs-999 is deducted by VSI/Amazon stan from my ICICI saving account. I have not done any such transactions or receiv… https://t.co/lQqxqODrEf
1626,hi @Uber_India and @amazonIN plz get pay later option  #KeepItSimpl
1627,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 .... Best Feature in M series...
#Samsungpay https://t.co/EVPijgr8Hr"
1628,"The wait is on...
Monster is back with a new machine

The last model relied on battery life, whereas the fast perfo… https://t.co/R6PY5zsx2d"
1629,"Hey @amazonIN. What is this?

Paperback edition: 16368
Hardcover: 1888

Are they correct?

@AmazonCare https://t.co/16PO1vUQMF"
1630,My favorite feature of Iqoo 7 series is the Flapship Snapdragon 888 Octa-core processor which'll enhance the overal… https://t.co/Gh3EcWACOK
1631,I believe dual chip feature and cemera on iqoo7 series is going to to amazing and iqoo is going to kill it as alway… https://t.co/elwVwlbMlN
1632,A blazing fast Snapdragon 750G processor for insane 5G speeds… spec only the #FastestMonster can have. Meet the all… https://t.co/mIUvR5fFRI
1633,"Dear @BJP4India, @trspartyonline , @BJP4Karnataka and all state governments, involve @amazonIN  and @Flipkart in va… https://t.co/a9q2tk5fte"
1634,"Waiting to see real-life performance. Favorite feature is #Snapdragon888.
#iQOO7Series @IqooInd @amazonIN https://t.co/94wo5jy6ss"
1635,"Order No #171-5796868-8081141

Received a duplicate item with the seal having a small hole..

@amazon @amazonIN… https://t.co/GhZq9sldpz"
1636,"My favourite feature of #SamsungM42 is : MONSTER - FAST PERFORMANCE ! 

@SamsungIndia 
@amazonIN 
#FastestMonster https://t.co/xsHPf3uCQy"
1637,My favourite #iQOO7Series feature. @IqooInd @amazonIN https://t.co/D6aN0fFy59
1638,flipkart pricing during this corona crisis they are taking advantage of https://t.co/9DI6NlRc87 pricing is nearly s… https://t.co/LNQtOOBmNz
1639,"The phone is a killer but my favorite feature of iqoo 7 Legend is the display (120 hz refresh rate, 300 hz touch sa… https://t.co/LqHOGNRkz6"
1640,"Dear @amazon @AmazonHelp @amazonmusic @AmazonUK @amazonIN @PrimeVideo @JeffBezos  please start taking @Dogecoin
Be… https://t.co/EmyKUtwmOb"
1641,"My Favourite features in IQOO 7 is @qualcomm_in processor 870 5G as well as it's 120 Hz Amoled Display, 66W chargin… https://t.co/b4HnD9bpgt"
1642,.@amazon @amazonIN Why there is so much shortage of oxymeter? Are we facing stock issues? Why have sellers increase… https://t.co/e9DxW44WaO
1643,Hello @AmazonHelp @amazonIN I have returned your product around 1and half month ago  but still not got my refund so… https://t.co/vGsWlf6g74
1644,#COVIDEmergency2021  @adidas  @AdidasIndia_ @amazon @amazonIN  Hi guys I'm searching for good quality mask finally… https://t.co/zphVXH18Vt
1645,"#OnePlus9seriesAmazonQuiz,@amazonIN &amp; @OnePlus_IN with
#amazonmobileinsider #OnePlus9Series https://t.co/JIVXnQ9Nz9"
1646,The feature of another chip for screen which will enhance the frame rate and optimize colours. This is amazing tech… https://t.co/dcVhZpPQxj
1647,.@amazonIN why have you started charging for every delivery in spite of having a prime membership ? :(
1648,"My Fav feature is snapdragon 888 in Good pricing,not other brand providing in this price.Use#Iqoo7series
@IqooInd… https://t.co/55gBTV7cd6"
1649,"The Complete Guide to Mentoring: How to Design, Implement and Evaluate Effe... https://t.co/OezM78qDEv via @amazonIN"
1650,"Dear @amazonIN, why is there, no option for changing the shipping address at-least for an hour. I have realised tha… https://t.co/FgEIT5cISK"
1651,Hey @amazonIN and @JeffBezos What Could I do to win The prizes on Amazon quiz. Looks like I'm the most unluckiest. 😣
1652,#iQOO7Series  comes with Largest Vapour Chamber upto 14°c Lower  CPU Temperature and upto 4°c Lower Surface Tempera… https://t.co/3IR0217YVQ
1653,"Amazing day I have entered the lucky draw to win OnePlus 8 Pro @amazonIN Thank you 😘😘😘😘
#AmazonSpinandWin https://t.co/GPNOTQp7LC"
1654,"#iQOO7Series
@amazonIN 
Excited to buy this superfantabulous featured phone waiting is over its yet to come soon ev… https://t.co/SZl76SIQyh"
1655,We don't need this because I'll be humble. Just BTS albums and merch on @amazonIN is all I'm asking https://t.co/AJbA0hGHnd
1656,"Thank you for this wonderful opportunity to win this dishwasher!
@amazonIN #AmazonQuiz https://t.co/1SrnyB9qkQ"
1657,I ordered bdc human anatomy vol 3&amp;4(set of 2 vols). My ordered id-406-6996065-6108353.And I only get only vol 3.All… https://t.co/topRPxdavF
1658,I'm so excited for the #IQOO7series phone and the feature that I love is the DUAL CHIPSET SD 750G + Intelligent Dis… https://t.co/K9QljQ9aGr
1659,Thank you sir!but seems like as per conversation @AmazonHelp @amazonIN  they don't want to help customer.. and our… https://t.co/ryea1EVEFB
1660,"https://t.co/lrUcF8AivZ

@amazonIN 👆 watch is delivered today!
Surprisingly the product has been removed from your… https://t.co/ynfLIkRi7D"
1661,Amazon &amp; E tech online seller don't buy laptop. You have not received laptop so I inform you all buyer. I have expe… https://t.co/A25VqtD8bn
1662,"Under this new fund, the e-commerce giant intends to help inspire more SMBs to be able to build brand new businesse… https://t.co/itjYEUn7HC"
1663,"I was comparing some @oneplus phones in the @AmazonindiaIn application, and as you can see there are some discripti… https://t.co/P3yxDUHEIA"
1664,"Best design I have ever seen + Snapdragon 888 + 120 hz AMOLED display .
  #iQOO7Series @IqooInd @amazonIN https://t.co/AM4NNSJGa9"
1665,A true monster of a phone beating all others in the industry. Love the super fast touching sampling rate and SD 888… https://t.co/XcY5LGxlaZ
1666,TBH this is gonna be mindblowing stuff I always loved Samsung my m30s is a beast and I am sure that this is gonna b… https://t.co/JCpkUMXT1h
1667,"#AmazonQuiz
#AbbottFreeStyleLibreQuiz
#QuizTime
#AmazonQuizAnswer
@amazon
@amazonIN
I played this interesting Quiz… https://t.co/Mwjv8Mm1zs"
1668,I would like to appreciate all the delivery people from @amazonIN @Flipkart @zomatoin @swiggy_in @DunzoIt… https://t.co/PPJ3Ubasy7
1669,"Dual chip for extra performance
@IqooInd @amazonIN #iQOO7Series https://t.co/OM4feIdl6w"
1670,"https://t.co/THyzRgpkvY
Flipkart Axis Credit Card vs Amazon ICICI Credit Card.. Detailed Comparison in Telugu… https://t.co/sZH85xkLjA"
1671,"#iQOO7series
@IqooInd 
@amazonIN 
Qualcomm snapdragin 870 5G 
Is my favourite a perfect gaming experience feature https://t.co/UNdN8YUw4n"
1672,"ஆமி...... சிறுகதைகள்.... (Tamil Edition) by sarasa suri....... https://t.co/QIDk4drHvi via @amazonIN

Last date to… https://t.co/goERJSERnb"
1673,I really like @amazonIN but I hate that almost all #amazonbasics products are made in China. What happened to being… https://t.co/ihYwf5A9YD
1674,"hey @Uber_India, @amazonIN, @myntra, @dominos_india and @oyorooms haaaaaaaave you met @getsimpl"
1675,Dear @amazonIN what happened you have deleted the link also 🤣🤣 https://t.co/N3pvhMaBtv
1676,"Here are my screenshots.

#FastestMonster 
@amazonIN 
@SamsungIndia #SamsungM42 https://t.co/NCQs8mdPaf"
1677,"Shivani Singh's 'Nalanda: History's Best Kept Secret' will soon be available on Amazon.
Stay tuned!
@amazonIN… https://t.co/qoezPDNam1"
1678,Unbiased Book Reviews for Clarity is the Only Spirituality by Susunaga Weeraperuma #BookReviews #Inspirational… https://t.co/Ao8uAFuUWO
1679,"#@amazonIN amazing smart phone with sd processor
#FastestMonster 
#SamsungM42 
From@samsungindia https://t.co/iCumeThghc"
1680,Favorite #iQOO7Series feature - Dual chip (Qualcomm Snapdragon 870 5G + Intelligent Display Chip). @IqooInd… https://t.co/VO7HHkyWgv
1681,"Carving for the beast...
@IqooInd
@amazonIN
#IQOO7series https://t.co/14cKt9zD0O"
1682,I have ordered a happilo product from amazon and the product is smelling and moistured. So amazon customer care is… https://t.co/7znO0pxIIy
1683,Dear @amazonIN how can you allow black marketing of products on your platform. Coronil kit is sold in market fir ab… https://t.co/1NgMCQm32f
1684,"The powerful Monster🤩
#FastestMonster 
@amazonIN 
@SamsungIndia 
#SamsungM42 https://t.co/P2xD1ncndV"
1685,"Hey @amazonIN 
Sorry but your customer service is not the best. Trying to resolve an issue with my Amazon account a… https://t.co/l033B176Rf"
1686,"My most favourite feature of the #iQOO7Series is the premium, flagship-grade Display on the IQOO 7. It has it all -… https://t.co/SNFeSpsb7i"
1687,"Woaaaah!!! It's a damn good news
So finally we can grab more offers on iFFALCON TVs
Good to See you there on… https://t.co/ShpRBhEDQO"
1688,"Why, @AmazonHelp @amazonIN W-H-Y? 😐 https://t.co/BaZ2gQNqqG"
1689,"Wohoooo @iFFALCONIndia is soon on @amazonIN super happening teams now became a team to make us happier 🥳

Hey guys… https://t.co/CBLGK3apnP"
1690,"How to recharge @JioCare FIBER BROADBAND CONNECTION other than MY @reliancejio APP
can we do that with @amazonpay… https://t.co/nSsTyDlvmg"
1691,"Can't wait for the new iQOO 7 Legend, its gonna be a deal-breaker for its price range.
@IqooInd @amazonIN… https://t.co/5GowmBEUjX"
1692,"hi @Uber_India, @amazonIN, @dominos_india, @NetflixIndia and @MyNykaa plz get pay later option  #KeepItSimpl"
1693,The Skin Story’s brand-new No Rinse Foam Cleanser infused with #WitchHazel &amp; #Menthol quenches the thirst of your s… https://t.co/ix3miAeeqJ
1694,"[Pre-Order Now] Mi 11X Pro starting ₹39,999 available on #amazonIN https://t.co/Re6gSvWgqS

Upto ₹4,000 Instant Dis… https://t.co/zdO2YTjjJW"
1695,"LOVE the fastest Snapdragon Processor Till Date
#IQOO7series @IqooInd @amazonIN https://t.co/opImrySlk9"
1696,Which bank cards can be used on Amazon Food @amazonIN ? What is this card discrimination not allowing my… https://t.co/rys060EA1J
1697,My favourite feature in Iqoo 7 legend and in Iqoo 7 series is not 1 the mobile it self is a masterpiece but one of… https://t.co/44kjV27tiU
1698,"hey @Uber_India, @amazonIN, @hellomilkbasket, @myntra, @dominos_india, @NetflixIndia and @hotstartweets haaaaaaaave you met @getsimpl"
1699,Fastest monster @amazonIN @SamsungIndia #samsumgm42 #fastestmonster https://t.co/BpQZKTE0FR
1700,"Extremely frustrating !!!
Lot of follow ups!!!
Disappointed after more than 10 years of good relationship.
@amazonIN 
@AmazonHelp"
1701,"""More Things in Heaven and Earth is the horror of what happens when love, obsession and betrayal collide.""
On… https://t.co/KOJs8zr9UG"
1702,"#iQOO7Series Amazing blazing smooth 120Hz display will so smooth as butter 🧈 😍........!!!
 Also having eye care tec… https://t.co/EcG84E7wMk"
1703,Don't buy Any laptop from Amazon and ETech Online seller. He is fraud. I buy 60 thousands rupees laptop but not dis… https://t.co/jahRmAsP8r
1704,I played this interesting Quiz on Amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/V3wPZ8scpg
1705,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/MzVJkWZBw6
@amazonIN 
@XiaomiIndia"
1706,I played this interesting Quiz on Amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/6MD6bCynTx
1707,I'll complaint against Amazon if you not refund my money @AmazonHelp @amazon @amazonIN @JeffBezos
1708,I placed order of hair straightener and curler ( order id 40599811050275516 and 40817084431333920)  and when i rece… https://t.co/6Pi3RNAV8o
1709,My favourite feature in Samsung Galaxy M42 is its Powerful #Snapdragon Processor 750G. Other many features I loved… https://t.co/tWWHwaj6Qd
1710,"LARGET GRAPHITE LAYER🔥🔥
iQOO 7 Series 
latest with best features

SNAPDRAGON 870 5G 
@IqooInd

@amazonIN
@amazon… https://t.co/96x258mdtQ"
1711,"iQOO 7 Series 
latest with best features

SNAPDRAGON 870 5G 
@IqooInd

@amazonIN

#iQOO7Series 
this is gonna roCKK… https://t.co/2os4BDDUe4"
1712,"iQOO 7 Series 
latest with best features

SNAPDRAGON 870 5G 
@IqooInd

@amazonIN

#iQOO7Series 
this is INSANE
BEST… https://t.co/KiqjIV48KP"
1713,Hey @amazonIN  good work keep it up but also ask @JeffBezos why did his country stop Vaccine Raw materials to India. https://t.co/UnwcIaXwdV
1714,"iQOO 7 Series 
latest with best features

SNAPDRAGON 870 5G 
@IqooInd
  
@amazonIN
 
#iQOO7Series 
this is gonna ro… https://t.co/1WAqN4yF9z"
1715,"iQOO 7 Series 
latest🔥🔥🤩with best features

SNAPDRAGON 870 5G 
@IqooInd  @amazonIN 
#iQOO7Series 
this is gonna roc… https://t.co/oObuQB6bjC"
1716,Great features in this phone❤❤❤❤ @IqooInd @amazonIN #IQOO7series https://t.co/Gii66xXDzv
1717,A revolutionary change... Love for Samsung...😍 #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/8TTMbAMUty
1718,"#AmazonQuiz 

@amazonIN

I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/KL5u6fvEfQ"
1719,"#FastestMonster,Tag@amazonIN and @SamsungIndia #SamsungM42 https://t.co/bVliKHO9Xx"
1720,"Amazon should stop sellers from changing the product, heading, and description once they have sold a product. Selle… https://t.co/LaaeFKp8R6"
1721,"Indian #FastestMonster @amazonIN  by @SamsungIndia  #SamsungM42 at it's best ❤️
I like samsung display and knox sec… https://t.co/PeNfWpYhIb"
1722,"#Mi11SeriesQuiz 

@amazonIN

I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/iMkJbKlJX8"
1723,"#iQOO7Series
Excited for IQOO7 Series and
More excited for IQOO7 Legend.
@amazonIN
@IqooInd

Here my favourite feat… https://t.co/RzQs4tXnFN"
1724,"Powerful machine...@IqooInd ,@amazonIN #iQOO7Series https://t.co/oswEmhqdkp"
1725,"Dear @amazonIN I just don't understand your service sometimes I wanted to order some products.
Whenever I add somet… https://t.co/ZLl5O2GZFW"
1726,"Order date

18-Apr-2021

Order #

405-2925869-0901110
@AmazonHelp
@amazonIN 
Shipped with Ecom Express

Tracking ID… https://t.co/oDQYBe7wze"
1727,"The iQOO 7 Series 
Legend 5g monster inside.
 Super features,
Camera 48mp,
50mm portrait Lens,
Charge in 22min,
120… https://t.co/HyfrIX5rhk"
1728,Hey @amazonIN two of my family members sent me a same gift. I am told there is no return policy. Can I get vouchers… https://t.co/2jwPZtuBh9
1729,"You can pre-order it on @amazonIN and @XiaomiIndia.

#Mi11XPro
https://t.co/68Q6hQoU8X"
1730,"Best features of #iQOO7Series are 
➡ Qualcomm Snapdragon 888 5G with highest antutu score 830K+
➡ 66W FlashCharge :… https://t.co/SrwCwgjFih"
1731,"HEY @amazonIN, @NetflixIndia, @hotstartweets, @oyorooms and @MyNykaa Y U NO @getsimpl  #KeepItSimpl"
