,Flipkart_tweets
94,Thank you @Flipkart and @flipkartsupport  I have received late delivery and I do not want his money as a gift. If y… https://t.co/ZexyeYxL8g
95,"Flipkart | Extra 20 SuperCoins on a min. purchase of ₹150 on Flipkart + 10% Off on your first Grocery Purchase.

Li… https://t.co/vRPbNQ6USW"
96,"What wrong with you @Flipkart 
Still unresolved and no updates yet😡 https://t.co/9FoRWzT2jP"
97,"Flipkart | Extra 20 SuperCoins on a min. purchase of ₹150 on Flipkart + 10% Off on your first Grocery Purchase.

Li… https://t.co/VHWQNQT5Fu"
98,"Amazon and Flipkart Have Now Started Taking Undue Advantage of the Pandemic:- Traders' Body

#StockMarket… https://t.co/NVvxtztifB"
99,"How to Earn Money from Facebook and YouTube in India?

See: https://t.co/gubpkGO9jA

#isrgrajan… https://t.co/0tvbt33Bzb"
100,"Hard Water stains Remover on Amazon/Flipkart 

#Pallakad #Secunderabad #Allahabad  #Mysore #Indore… https://t.co/whJIvrgY0E"
101,"Flipkart, Stripe &amp; ThoughtSpot pls https://t.co/n8JrnCPU0w"
102,"#ETReports | Prices of #oxygen concentrators, #oximeters and nebulisers have surged 50-100% over the past 10 days,… https://t.co/3Ah06PJQfJ"
103,"Flipkart : Water Days (28th - 30th April)
 
Link : https://t.co/D20PzX8ZgH https://t.co/4eWnIkwKmQ"
104,"Daily Flipkart Video Quiz Games Answers for 28 April, 2021 

🎁 Fake or Not (E137) :   https://t.co/TVIPT8mupt

Not… https://t.co/QiZNuWi44j"
105,"#Flipkart : Water Days (28th - 30th April).
 
🔗https://t.co/yRcSCkBRdr"
106,"Daily #Flipkart Video Quiz Games Answers for 28th April 2021.

1. Fake Or Not (S4E137) 

1. Not Fake
2. Fake
3. Fak… https://t.co/IOGgVYSeho"
107,"Nokia 5.4 to Go on Sale Today via Flipkart and https://t.co/6ERqOOWCAR, Nokia Power Earbuds Lite Now Available - Ga… https://t.co/OuAmvFzufe"
108,My order id is OD121336449841730000 please help me on this issue sir am waiting for more that 10 days still now the… https://t.co/7KYYADgol1
109,"FD FASHION Women Pink Shoulder Bag
https://t.co/aTUN3xEYeF"
110,FD Fashion shoulder bags now available in discount price only on Flipkart with lots of variety
111,"When every seller needs to be compulsorily registered under GST to sell through an E-Commerce platform then,why the… https://t.co/bz2EYhlQyv"
112,"Since from 6 month refunds not received, yet #Flipkart &amp; #kotakmahimdra playing hide &amp; seek 😀 https://t.co/R3ZZzVNOpc"
113,#flipkart why your are too much delay while refunding???
114,#Flipkart games #PaytmCricketLeague https://t.co/4o6M9c3t7L https://t.co/fiTSWVgF1a
115,Fashion &amp; Safety Go Hand in Hand! DM For Price. Proplady offers 3 ply cotton designer safety mask and corresponding… https://t.co/UTf5b0SdRV
116,"I swear to God, if Flipkart becomes the next NBC... #Startup #Unicorns #VC"
117,"33K+ Views 🔥🔥 WOW
iPhone SE 2021 Flipkart Unit Unboxing

https://t.co/lCeAvTQNim"
118,"✅ $GOOG: ""Google"" mentioned during Axis Bank Limited earnings event https://t.co/0qZoPi5aHD"
119,"CAIT seeks action against Amazon, Flipkart over non-essential supplies: The Confederation of All India Traders (CAI… https://t.co/WNQokYYsu3"
120,Super Energy Efficient Sansui 1.5 Ton 5 Star Split Triple Inverter AC with PM 2.5 Filter (Copper Condenser) for Rs.… https://t.co/SCJSQlylv8
121,"🎁 Big Savings Days Pre Sale 😱

👉 [Open from Mobile] Flipkart Curtain Raiser Deals 28th to 30th April

Link :… https://t.co/QYOt8un4IA"
122,Very good product (wireless bell) for patients in home quarantine to call his/her family members from other rooms 👍… https://t.co/1xW1YX7Ken
123,"Wowww..what a viewing point..when CRED @CRED_club done the same thing then it is okay, so many posts were flooding… https://t.co/8oTxqUQ1GM"
124,"🌟Flipkart : Water Days (28th - 30th April).
 
🔗https://t.co/Kg36pF4gB3"
125,"🎁🎁New Stock : Flipkart : Groceries Upto 99% off+ Bank Offer

claim 100₹ off coupon 

Link : https://t.co/x8Le77Km15… https://t.co/Iv8Dh8lXYd"
126,"Mivi DuoPods M20 True Wireless Bluetooth Headset(Red, True Wireless) Rs. 1199 - Flipkart
https://t.co/7dgBngc51Y"
127,"India’s Most Affordable 108MP + 32MP Selfie Camera Smartphone, moto g60 Goes on Sale From Today on Flipkart https://t.co/RwBJF5FIwS"
128,I hope Everyone will take some little intiative. Does not matter money should be in millions or billions. If you gi… https://t.co/Id9497CvKo
129,Flipkart  mobile exchangeoffer  disappointed  to me. This is cheat work https://t.co/UqpnGhQZe6
130,"OD221549378966624000
What the worst service...Didnt expected from flipkart
No product in package ...I just opened t… https://t.co/PvIpPtJ1du"
131,I hope u will surely sort it out soon @flipkartsupport @Flipkart @_Kalyan_K https://t.co/UBSxl4w6qQ
132,"#Flipkartoffers #flipkartshopping  #PaytmCricketLeague

Fast claim yours now... it's still live
28th April
Answers… https://t.co/BYRCUHtcgh"
133,"You can donate 1kg  -- 10kg oxygen  using flipkart coins
 1kg=50coins,10kg=500 coins,1mask =20 coins, 1hr ambulance… https://t.co/nXzICJSMSG"
134,What is the point of this 10% cashback on No Cost Emi through HDFC Credit Cards on @flipkartsupport? when only opti… https://t.co/4zLlApeBlF
135,"Flipkart : Extra 20 SuperCoins on a min. purchase of ₹150 on Flipkart + 10% Off on your first Grocery Purchase.

Li… https://t.co/BdD9LTendL"
136,Shame on #ecommerce @PMOIndia @narendramodi @PiyushGoyal @nsitharaman @OfficeofUT @AUThackeray @CAITIndia… https://t.co/Zp9Sw0AvAt
137,[HDFC CC Rs. 29240] Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with… https://t.co/R4Rx3QFeWd
138,"Flipkart | Extra 20 SuperCoins on a min. purchase of ₹150 on Flipkart + 10% Off on your first Grocery Purchase.

Li… https://t.co/DwVOFoPPcB"
139,"#Flipkart Video Quiz Games Answers | 28 April

1. Fake Or Not Fake 
Play Here 👉https://t.co/oPySMRWusb

1. Not Fake… https://t.co/2uefDDPPTH"
140,I have complaint for the wrong practise done by others and in result I got a surprise response . Really shameful an… https://t.co/Kj30gb6tyq
141,"Flipkart | Extra ₹100 Off on Electronics &amp; Accessories

Claim : https://t.co/SQVG6ZwpDr

Eligible :… https://t.co/xqVdCMF7g7"
142,"Truke Fit 1 Bluetooth Headset  (Black, True Wireless) at ₹775

Link : https://t.co/7qT9tr8k3K https://t.co/2CzARP5Zjc"
143,"#Flipkart : Water Days (28th - 30th April)
 
Link : https://t.co/o93wJ78aTC

Upto 70% Off on Water Purifiers https://t.co/i9pYPaOBVL"
144,"[HDFC Card Users] Crompton 88 L Desert Air Cooler  (White – Teal, ACGC-DAC881)

Deal : ₹ 8999/- 
Price : ₹ 19990/-… https://t.co/npU4YaUWuO"
145,"Flipkart : Water Days (28th - 30th April).
 
Upto 70% off on Water Purifiers

https://t.co/rBJrZTifTJ https://t.co/xD7BxkWx8Q"
146,Donate 1 Kg Oxygen Cylinder Refill @50 supercoins for a critical care patient and join the Fight Against Corona Vir… https://t.co/czggbNqZHN
147,People are waiting like Big billion days @Flipkart and Great Indian sale of @amazonIN to register to Cowin for vacc… https://t.co/op5QZ9iLIQ
148,"If you're a @Flipkart user &amp; you've Super Coins, you can donate Oxygen Cylinders Refill by using those (50 Coins pe… https://t.co/CaqNfVh7F9"
149,"Dear @Flipkart , To Deliver Simple Product, Why This Seller Need 13 Days ??
Kindly Help Me To Understand 🙏
#Flipkart https://t.co/fWbDyRkgVE"
150,"Nokia 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo  (65TAUHDN)
 Offer: ₹ 49999
Mrp: ₹ 69… https://t.co/daJithB7NZ"
151,"Flipkart Water Days | 28th - 30th April | Upto 70% OFF on Water Purifiers
 
https://t.co/qBWGZfIB1Z https://t.co/ceM57e0GEB"
152,"Nokia 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo  (65TAUHDN)
 Offer: ₹ 49999
Mrp: ₹ 69… https://t.co/B7oX0Eblgm"
153,"Flipkart Water days 28-30th April  - Upto 70% off on Water Purifier

https://t.co/mZlNZlqCpz"
154,"#Flipkart : Water Days (28th - 30th April)

https://t.co/rT5QpQwOXD"
155,"Flipkart All Quiz Correct Answers Today (28 April 2021) Fake Or Not, The Bid and Win Show, PWP, Trivia Answers Quiz… https://t.co/f99F2pOt6B"
156,"Hi @Flipkart @flipkartsupport 
There is an issue with last order which I tried to place but could not make the paym… https://t.co/1ftBqVtecL"
157,"Flipkart : Water Days (28th - 30th April)
 
https://t.co/jLJgr0DhbG"
158,"Hisense 185 L Direct Cool Single Door 2  At 8741 [Prepaid + SC]

https://t.co/X3EoSx2dF7

More -"
159,"83% Off @ LED Digital Finger Pulse Oximeter Spo2h Blood Oxygen Monitor ₹790 (Save ₹3910)

🔗 Link:… https://t.co/e4Up5U07z0"
160,"[Updated] Flipkart Quiz Answers (28th April)

1. Fake Or Not 

1. Not Fake
2. Fake
3. Fake

2. Aage Kya 

1. A Guy… https://t.co/ojHgHONZ7G"
161,"83% Off @ LED Digital Finger Pulse Oximeter Spo2h Blood Oxygen Monitor ₹790 (Save ₹3910)

🔗 Link:… https://t.co/pJXV6B6JTA"
162,"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load  At 5571 With HDFC Credit Card + 300 Supercoins.

https://t.co/87GbmAtJsK"
163,An extremely handy initiative as most of us use Flipkart for our daily essentials.We find expiring our supercoins e… https://t.co/9b07bQbkoV
164,"When @Flipkart and @amazonIN can't handle flash sales, maybe it was too much to ask from our government. #CowinApp… https://t.co/dTh2EB9l8f"
165,"Inalsa Panache 1400 W Steam Iron(White, Royal Blue) Rs. 999 - Flipkart
https://t.co/Yl3nt3mdKA"
166,"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load White, Blue

@5571 With Hdfc Credit card + 300 Superc… https://t.co/C1Wnh4iEN2"
167,"28 April 2021 Flipkart Quiz Answers:

YouTube Live https://t.co/O95Y0gG3ua

Prize wali Paathshala… https://t.co/zZTbk8w6ju"
168,"STAYFREE Dry Max All Night combo of 42 pads Sanitary Pad@331

https://t.co/lEN63FjIy5"
169,"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load White, Blue  at Rs 6490

https://t.co/M6gb7ehfhF

Mor… https://t.co/Fk5S51mTcG"
170,"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load at ₹6,490

https://t.co/UDT30YaTnl

Extra 10% off on… https://t.co/ieJtPOLuOY"
171,Orient Electric UV Sanitech One Touch Sanitization/Sterilization box - Kills 99.99% Germs in 4 Minutes  at Rs 2999.… https://t.co/5xsFSKOITz
172,"In Stock : 75% off : Orient Electric UV Sanitizer Box  (Silver, 34 L) @ 2999

https://t.co/A9QLCti6Hj"
173,"Orient Electric UV Sanitech One Touch Sanitization/Sterilization box - Kills 99.99% Germs in 4 Minutes  At 2999.

A… https://t.co/Hb5pJD3zOG"
174,"Orient Electric UV Sanitech One Touch Sanitization/Sterilization box - Kills 99.99% Germs in 4 Minutes 2999.

Amazo… https://t.co/Kcu7zC5JBn"
175,"#Compaq ER Series 108 cm (43 inch) Full HD LED Smart Android TV

https://t.co/7DPJEb2ERO

@18749 With Hdfc Credit card"
176,MarQ by Flipkart 7.5 kg 5 Star Engineered with Panasonic Technology Fully Automatic Top Load Grey  at Rs 10841 [HDF… https://t.co/nky7RvP9wV
177,🎁 MarQ by Flipkart 7.5 kg 5 Star Engineered with Panasonic Technology Fully Automatic Top Load Grey @ 10841 [HDFC P… https://t.co/t41hF0PrTY
178,[HDFC + Supercoin] MarQ by Flipkart 7.5 kg 5 Star Engineered with Panasonic Technology Fully Automatic Top Load Gre… https://t.co/mojU9qF1sD
179,"Compaq ER Series 108 cm (43 inch) Full HD LED Smart Android TV at ₹18,749 with HDFC Cards

https://t.co/fYWY0sEAWV… https://t.co/zaeUHNhty5"
180,"Flipkart Video Answers 28th April

▶️ Fake or Not Fake : 
Not Fake, Fake, Fake

▶️ Prize Wali Paathshala : Chenab,… https://t.co/joYPJ6DMWx"
181,"89% off : WallBerry Extra Large Wall Stickers  At 159

Buy More Save More

https://t.co/p2isTCA3DZ"
182,"Hindware 36 L Room/Personal Air Cooler at 5899.

https://t.co/XqWAfyA6ZZ

Rs.5309 with HDFC Credit Card."
183,"Lowest : Marvel Iron Man, Thanos and Infinity Gauntlet Titan Hero Series @999

https://t.co/s0pMakzw8V"
184,"Flipkart : Big Savings Days Curtain Raiser Deals (28th - 30th April)

Grab Sale Prices Before The Sale Starts… https://t.co/gZcX2n7agV"
185,"Flipkart Videos Answers : - 

Prize Wali Pathsala

1. Chenab
2. Apple
3. Acetic Acid

https://t.co/LDocTk6qKq"
186,"Flipkart Play Prize Wali Paathshala Answer And Directly Play Link 👇👇👇
https://t.co/O6K9H618Ti

1. Chenab
2. Apple 
3. Acetic acid"
187,"Flipkart Answers

Fake or Not Fake 
Not Fake, Fake, Fake

Trivia 
 D C A A B 

--------------------
By… https://t.co/lq90roEoHz"
188,"Flipkart Bolo Aage Kya? Answer and Directly Play Link 👇👇👇
https://t.co/lOicmbYUk9

1. A player breaks the Glass 
2.… https://t.co/HVEljvzkyl"
189,"#Hindware 36 L Room/Personal Air Cooler at Rs.5899

https://t.co/Syi5U2zeEp

5309 with Hdfc Credit card"
190,"Hindware 36 L Room/Personal Air Cooler at Rs.5899

https://t.co/P4wmQld6ZZ"
191,"live now

Upcoming | Flipkart : Big Savings Days - Curtain Raiser Deals (28th - 30th April)

Grab Sale Prices Befor… https://t.co/b8YoYURO2V"
192,"#Flipkart : Big Savings Days - Curtain Raiser Deals (28th - 30th April)

Grab Sale Prices Before The Sale Starts.… https://t.co/nWLOx3AK5Y"
193,"Flipkart : Big Savings Days - Curtain Raiser Deals (28th - 30th April)

Grab Sale Prices Before The Sale Starts.… https://t.co/sZBufu4Mbw"
194,"Flipkart Video Presents Fake or Not - 28th April - Win LG Tone BT headset, Gift vouchers, supercoins -- Flipkart --… https://t.co/FvA1jvYKn7"
195,"Flipkart Videos Answers : - 

Fake or Not 

1. Not Fake
2. Fake 
3. Fake

https://t.co/UvNgHldTww

Aage Kya 

1. C… https://t.co/G1T9wUB4Rq"
196,"Lowest : Marvel Iron Man, Thanos and Infinity Gauntlet Titan Hero Series  At 999

https://t.co/uUV75PdbGJ"
197,"🎁[Open from Mobile] Flipkart Curtain Raiser Deals 28th to 30th April

https://t.co/9tnG26y8Sb

+ HDFC Bank Offer"
198,"Flipkart Big Savings Days Curtain Raiser Deals 

28th - 30th April

https://t.co/sCAqHtBou5

10% Instant Discount W… https://t.co/u3ynkd10U6"
199,Totally unfair game between customer and flipkart. If u dont have capacity to give any rewads to ang customer then… https://t.co/8zanfDMJXs
